eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 0957-1,keine_id,Brandstätte,1506,,,,0 d.,,,,
GB-E 0957-2,keine_id,Alter Kohlmarkt,1506,,,580,2 tl. 3 s. 10 d.,121,294,294 tl.,umb zwayhundert unnd vierundnewntzig phunt phening  
GB-E 0958-1,keine_id,Haarmarkt,1506,,,72,72 d.,,,,
GB-E 0958-2,keine_id,Alter Kohlmarkt,1506,,,216,7 s. 6 d.,,,,
GB-E 0959-1,keine_id,Alter Kohlmarkt,1506,,,216,7 s. 6 d.,295,266,200 UG,umb zwayhundert gulden unngrisch  
GB-E 0960-1,keine_id,Kienmarkt,1506,,,144,4 s. 24 d.,,,,
GB-E 0961-1,keine_id,innerhalb Stubentor / Wollzeile,1506,,,144,4 s. 24 d.,,,,
GB-E 0961-2,DB5433,Hoher Markt,1506,,,560,18 s. 20 d.,,,na,umb ain Summa gelts  
GB-E 0962-1,keine_id,Münzerstraße,1506,ja,,,,,2000,1500 RG,umb funffzehenhundert guldein Reinisch  
GB-E 0963-1,keine_id,innerhalb Stubentor,1506,,,72,72 d.,,,,
GB-E 0963-2,keine_id,innerhalb Stubentor,1506,,,1200,5 tl.,120,600,600 tl.,umb Sechshundert phundt phening  
GB-E 0964-1,keine_id,Weihenburg,1506,,,216,7 s. 6 d.,,,,
GB-E 0964-2,keine_id,Weihenburg,1506,,,72,72 d.,,,,
GB-E 0964-3,keine_id,Weihenburg,1506,,,72,72 d.,,,,
GB-E 0965-1,keine_id,Weihenburg,1506,,,72,72 d.,,,,
GB-E 0966-1,keine_id,Weihenburg,1506,,,252,1 tl. 12 d.,120,126,126 tl.,umb hundertund Sechsundzwaintzig phunt phening  
GB-E 0967-1,keine_id,vor Werdertor,1506,,,,,,80,80 tl.,umb Achtzigk phunt phenning  
GB-E 0968-1,DB5523,Am Gestade,1507,,,144,4 s. 24 d.,,,,
GB-E 0968-2,keine_id,Wollzeile,1507,,,750,3 tl. 30 d.,240,750,750 tl.,umb ain Summa gelts nemlich achthalbhundert phunt phening  
GB-E 0969-1,keine_id,Haarmarkt,1507,,,588,19 s. 18 d.,,,na,umb ain Summa gelts  
GB-E 0970-1,keine_id,Singerstraße,1507,,,,,,,,
GB-E 0971-1,keine_id,vordere Peckenstraße,1507,,,,,,,,
GB-E 0972-1,keine_id,vordere Peckenstraße,1507,,,72,72 d.,,,,
GB-E 0973-1,keine_id,Fischerstiege,1507,,,,,,,,
GB-E 0973-2,keine_id,vor Werdertor,1507,,,,,,,,
GB-E 0974-1,DB5038,Wiltwerkerstraße,1507,,,,0 d.,,,,
GB-E 0974-2,keine_id,hintere Peckenstraße,1507,,,900,3 tl. 6 s.,120,450,450 tl.,umb funffthalbhundert phunt phening  
GB-E 0975-1,DB5429,Hoher Markt,1507,ja,,144,4 s. 24 d.,,,,
GB-E 0976-1,DB1058,Wiltwerkerstraße,1507,,,540,2 tl. 60 d.,120,270,270 tl.,umb zwayhundert unnd Sibenntzigkh phunt phening  
GB-E 0977-1,DB5476,Peurertor,1507,,,72,72 d.,,,,
GB-E 0977-2,keine_id,Alter Kohlmarkt / St. Michael,1507,,,72,72 d.,,,,
GB-E 0978-1,DB0121,hinter St. Pankraz,1507,,,72,72 d.,,,,
GB-E 0978-2,DB5104,hinter St. Pankraz,1507,,,,,,,,
GB-E 0979-1,DB5104,hinter St. Pankraz,1507,,,,,,48.0,na / 48 tl.,umb ain Summa gelts  umb Achtundvirtzigk phunt phening  
GB-E 0979-2,keine_id,Greut / vor Stubentor,1507,,,72,72 d.,,,,
GB-E 0980-1,keine_id,Greut / vor Stubentor,1507,,,,,,75,75 tl.,umb funfundsibentzig phunt phening guter lanndswerung Osterreich  
GB-E 0980-2,keine_id,Alter Fleischmarkt,1507,,,,,,300,300 tl.,umb drewhundert phunt phening  
GB-E 0981-1,DB6000,Scheffstraße / vor Stubentor,1507,,,72,72 d.,,,,
GB-E 0981-2,keine_id,Fischhof,1507,,,1500,6 tl. 60 d.,120,750,750 tl.,umb Sybenhundert unnd funfzigk phunt phening  
GB-E 0982-1,keine_id,Fischergasse / vor Werdertor,1507,,,134,4 s. 14 d.,120,67,67 tl.,umb Sybenundsechtzigk phunt phening  
GB-E 0983-1,keine_id,Stephansfreithof,1507,,,,0 d.,,,,
GB-E 0983-2,keine_id,Stephansfreithof,1507,,,,,,320,320 tl.,umb Drewhundert unnd zwaintzigk phundt phening  
GB-E 0984-1,keine_id,St. Stephan,1507,,,1620,6 tl. 6 s.,120,810,810 tl.,umb Achthundert und zehen phunt phening  
GB-E 0985-1,keine_id,Brandstätte,1507,ja,,,,,,,
GB-E 0986-1,DB5037b,Otto und Haimo / Wiltwerkerstraße,1507,,,430,14 s. 10 d.,120,215,215 tl.,umb zwayhundert und funfzehen phundt phening guter lanndswerung in Osterreich  
GB-E 0987-1,keine_id,Ringmauer / Teinfaltstraße,1507,,,84,84 d.,120,42,42 tl.,umb zwayundvirtzigk phundt phening  
GB-E 0988-1,keine_id,unter den Spenglern,1507,,,144,4 s. 24 d.,,,,
GB-E 0988-2,keine_id,Alter Kohlmarkt,1507,,,72,72 d.,,,,
GB-E 0989-1,keine_id,vor Werdertor,1507,ja,,90,3 s.,120,45,45 tl.,umb funfundvircigk phunt phenning  
GB-E 0990-1,keine_id,Neuer Markt,1507,,,,0 d.,,,,
GB-E 0991-1,keine_id,vordere Peckenstraße,1507,,,72,72 d.,,,,
GB-E 0991-2,keine_id,Alter Fleischmarkt / Laurenzerinnen,1507,,,144,4 s. 24 d.,,,,
GB-E 0992-1,keine_id,Kernerstraße / Pippingerstraße,1507,,,,0 d.,,,,
GB-E 0992-2,keine_id,Kernerstraße,1507,,,,,,94,94 tl.,umb virundnewntzigk phundt phening  
GB-E 0993-1,keine_id,bei den Predigern / innerhalb Stubentor,1507,,,72,72 d.,,,,
GB-E 0994-1,keine_id,bei den Predigern / innerhalb Stubentor,1507,,,360,12 s.,120,180,180 tl.,umb hundert und Achtzigkh phundt phening  
GB-E 0994-2,keine_id,Walichstraße,1507,,,,,,,,
GB-E 0995-1,keine_id,Walichstraße,1507,,,160,5 s. 10 d.,,,,
GB-E 0995-2,DB5503,Kammerhof / Münzerstraße,1507,,,72,72 d.,,,,
GB-E 0996-1,keine_id,Schlossergasse,1507,,,72,72 d.,,,,
GB-E 0997-1,keine_id,Schlossergasse,1507,,,300,10 s.,120,150,150 tl.,umb Annderthalbhundert phundt phening  
GB-E 0997-2,keine_id,Rosengasse / Teinfaltstraße,1507,,,58,58 d.,120,29,29 tl.,umb Newnundzwaintzigk phundt phening  
